state,region,sex,marital_status,no_of_active_loan_in_bureau,avg_disbursement_amount_bureau,non_agriculture_income,total_land_for_agriculture,k022_village_category_based_on_agri_parameters_good_average_poor,k022_proximity_to_nearest_mandi_km,k022_proximity_to_nearest_railway_km,ko22_village_score_based_on_socio_economic_parameters_0_to_100,k022_village_category_based_on_socio_economic_parameters_good_average_poor,k022_seasonal_average_rainfall_mm,r022_village_category_based_on_agri_parameters_good_average_poor,r022_seasonal_average_rainfall_mm,k021_seasonal_average_rainfall_mm,r021_seasonal_average_rainfall_mm,r020_seasonal_average_rainfall_mm,perc_of_house_with_6plus_room,women_15_19_mothers_or_pregnant_at_time_of_survey,perc_of_pop_living_in_hh_electricity,perc_households_with_pucca_house_that_has_more_than_3_rooms,mat_roof_metal_gi_asbestos_sheets,perc_of_wall_material_with_burnt_brick,households_with_improved_sanitation_facility,perc_households_do_not_have_kcc_with_the_credit_limit_of_50k,k022_total_geographical_area_in_hectares,k022_net_agri_area_in_ha,k022_net_agri_area_of_total_geog_area,kharif_seasons_irrigated_area_in_2022,kharif_seasons_cropping_density_in_2022,kharif_seasons_agricultural_performance_in_2022,kharif_seasons_agricultural_score_in_2022,kharif_seasons_type_of_soil_in_2022,kharif_seasons_type_of_water_bodies_in_hectares_2022,kharif_seasons_agro_ecological_sub_zone_in_2022,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2022,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2022,rabi_seasons_season_irrigated_area_in_2022,rabi_seasons_cropping_density_in_2022,rabi_seasons_agricultural_performance_in_2022,rabi_seasons_agricultural_score_in_2022,rabi_seasons_type_of_soil_in_2022,rabi_seasons_type_of_water_bodies_in_hectares_2022,rabi_seasons_agro_ecological_sub_zone_in_2022,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2022,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2022,rabi_seasons_kharif_season_irrigated_area_in_2021,rabi_seasons_cropping_density_in_2021,rabi_seasons_agricultural_performance_in_2021,rabi_seasons_agricultural_score_in_2021,rabi_seasons_type_of_soil_in_2021,rabi_seasons_type_of_water_bodies_in_hectares_2021,rabi_seasons_agro_ecological_sub_zone_in_2021,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2021,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2021,kharif_seasons_kharif_season_irrigated_area_in_2021,kharif_seasons_cropping_density_in_2021,kharif_seasons_agricultural_performance_in_2021,kharif_seasons_agricultural_score_in_2021,kharif_seasons_type_of_soil_in_2021,kharif_seasons_type_of_water_bodies_in_hectares_2021,kharif_seasons_agro_ecological_sub_zone_in_2021,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2021,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2021,kharif_seasons_kharif_season_irrigated_area_in_2020,kharif_seasons_cropping_density_in_2020,kharif_seasons_agricultural_performance_in_2020,kharif_seasons_agricultural_score_in_2020,kharif_seasons_type_of_soil_in_2020,kharif_seasons_type_of_water_bodies_in_hectares_2020,kharif_seasons_agro_ecological_sub_zone_in_2020,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2020,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2020,rabi_seasons_kharif_season_irrigated_area_in_2020,rabi_seasons_cropping_density_in_2020,rabi_seasons_agricultural_performance_in_2020,rabi_seasons_agricultural_score_in_2020,rabi_seasons_type_of_soil_in_2020,rabi_seasons_type_of_water_bodies_in_hectares_2020,rabi_seasons_agro_ecological_sub_zone_in_2020,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2020,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2020,night_light_index,village_score_based_on_socio_economic_parameters_non_normalised,village_score_based_on_socio_economic_parameters_0_to_100,village_category_based_on_socio_economic_parameters_good_average_poor,land_holding_index_source_total_agri_area_no_of_people,road_density_km_sqkm,target_income,k022_ambient_temperature_min_max_min,k022_ambient_temperature_min_max_max,k022_ambient_temperature_min_max_range,r022_ambient_temperature_min_max_min,r022_ambient_temperature_min_max_max,r022_ambient_temperature_min_max_range,r021_ambient_temperature_min_max_min,r021_ambient_temperature_min_max_max,r021_ambient_temperature_min_max_range,k021_ambient_temperature_min_max_min,k021_ambient_temperature_min_max_max,k021_ambient_temperature_min_max_range,r020_ambient_temperature_min_max_min,r020_ambient_temperature_min_max_max,r020_ambient_temperature_min_max_range,location_latitude,location_longitude
MADHYA PRADESH,CENTRAL,M,M,0,,13316000,4.0,Poor,4.7,38.6,42.85740552010778,Average,1828.24,Poor,30.83,1006.94,190.95,131.83,0.75,1.7,99.3,0.76,0.75,16.45,69.6,5.35,893.92,102.014,11.41,71.57,47.04,4.52,20.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,100.2,28.8,78.28,60.52,5.17,17.59,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.62,16.01,78.0,61.82,4.5,27.46,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.78,17.67,78.28,60.52,8.41,18.51,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.25,27.24,78.0,61.82,1.74,20.82,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.27,27.12,64.59,67.98,3.59,14.45,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.13,23.46,0.93,28.1373735788421,42.85740552010778,Average,0.05980251860332,0.0,15000000,22.97,30.06,7.09,16.39,28.87,12.48,16.28,29.0,12.719999999999999,22.98,29.57,6.59,16.02,27.49,11.469999999999999,,
TELANGANA,SOUTH,M,M,0,,4150000,10.0,Average,4.8,8.3,42.98188619745915,Average,2218.13,Poor,81.89,1503.91,59.33,264.44,0.18,5.8,99.6,2.16,13.23,60.0,76.2,2.97,877.17,709.8,80.92,49.97,56.25,41.14,33.21,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,102.05,29.92,41.25,69.55,20.79,19.79,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,91.96,15.66,10.38,30.68,40.3,25.12,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.04,24.59,41.25,69.55,21.92,19.04,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.74,22.74,10.38,30.68,30.09,16.61,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,97.86,28.59,20.28,35.76,16.33,13.17,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.44,16.75,0.96,28.2141829738216,42.98188619745915,Average,0.156637220869957,0.0,16500000,23.75,30.0,6.25,19.92,30.76,10.84,19.65,31.39,11.740000000000002,23.58,29.56,5.98,20.37,30.47,10.099999999999998,,
MADHYA PRADESH,CENTRAL,M,S,0,,36024500,3.0,Poor,5.3,18.8,42.79213600756612,Average,2053.08,Poor,57.64,1146.93,159.41,118.58,1.26,1.71,99.3,2.68,4.13,22.76,69.67,9.63,1799.36,562.47,31.26,84.94,56.31,14.03,29.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,101.81,32.9,59.05,37.33,16.51,20.57,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.81,19.55,86.01,69.51,13.79,35.62,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.25,19.03,59.05,37.33,10.06,16.93,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.87,32.57,86.01,69.51,4.91,25.47,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.74,28.21,37.93,39.92,10.21,13.45,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.61,27.83,0.95,28.0970997638565,42.79213600756612,Average,0.289226323313142,1.86,41000000,23.35,30.55,7.199999999999999,15.94,28.51,12.570000000000002,15.98,29.11,13.129999999999999,23.35,30.05,6.699999999999999,15.76,27.48,11.72,,
MADHYA PRADESH,CENTRAL,M,S,1,70590.0,11581500,3.0,Average,7.9,6.0,39.36210924391884,Poor,2053.08,Poor,57.64,1146.93,159.41,118.58,0.91,2.05,99.23,2.66,5.43,23.92,69.72,9.66,280.56,225.66,80.43,80.76,56.32,41.51,39.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,101.81,32.9,96.06,92.93,11.97,24.64,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.81,19.55,90.81,95.59,41.55,50.44,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.25,19.03,96.06,92.93,7.18,21.75,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.87,32.57,90.81,95.59,10.97,28.2,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.74,28.21,92.8,65.96,28.18,30.78,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.61,27.83,0.93,25.9806405182535,39.36210924391884,Poor,0.341583034376277,0.0,13000000,23.35,30.55,7.199999999999999,15.94,28.51,12.570000000000002,15.98,29.11,13.129999999999999,23.35,30.05,6.699999999999999,15.76,27.48,11.72,,
MAHARASHTRA,WEST,F,M,1,325000.0,7247600,15.0,Poor,7.7,20.5,39.88333570405755,Average,2506.77,Poor,161.08,1346.91,93.44,199.57,0.0,3.26,98.65,6.21,0.0,29.75,76.11,1.39,742.06,604.4,81.45,57.74,39.57,17.39,24.3,Red and lateritic Soils,[None],EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,93.98,29.47,11.19,0.07,19.23,12.84,Red and lateritic Soils,[None],EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,82.53,13.5,32.37,32.04,26.56,24.45,Red and lateritic Soils,[None],EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,82.98,23.33,11.19,0.07,40.42,20.85,Red and lateritic Soils,[None],EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,85.28,20.61,32.37,32.04,7.08,12.78,Red and lateritic Soils,[None],EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,91.32,28.06,96.85,71.03,32.64,34.58,Red and lateritic Soils,[None],EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,87.44,20.07,0.95,26.3022574141638,39.88333570405755,Average,0.43298540715959,0.0,95000000,24.56,31.04,6.48,20.17,31.38,11.209999999999997,19.97,32.6,12.630000000000003,24.34,30.48,6.140000000000001,20.74,31.25,10.510000000000002,20.2234568,79.8439296
HARYANA,NORTH,M,M,11,489090.909090909,22605750,30.0,Poor,0.0,0.0,53.81956387894476,Average,777.66,Poor,213.92,1501.66,452.42,611.53,3.0,3.1,99.2,5.38,0.62,90.57,83.5,4.54,6658.02,1384.86,20.8,68.51,29.65,9.74,25.8,Alluvial-derived Soils (with saline phases),"['river, water']",NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,43.34,11.89,75.97,74.66,10.0,23.15,Alluvial-derived Soils (with saline phases),"['river, water']",NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,41.87,8.61,47.21,71.87,8.7,26.11,Alluvial-derived Soils (with saline phases),"['river, water']",NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,40.62,4.43,75.97,74.66,5.87,20.68,Alluvial-derived Soils (with saline phases),"['river, water']",NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,42.38,9.66,47.21,71.87,7.27,18.93,Alluvial-derived Soils (with saline phases),"['river, water']",NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,43.8,10.33,75.97,74.66,3.66,20.34,Alluvial-derived Soils (with saline phases),"['river, water']",NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,44.27,6.08,0.94,34.901449491082,53.81956387894476,Average,0.0774831813726148,6.46,25117500,23.94,32.15,8.209999999999997,12.82,25.12,12.3,12.62,25.27,12.65,24.55,32.62,8.069999999999997,12.6,23.69,11.090000000000002,,
ANDHRA PRADESH,SOUTH,M,M,0,,9000000,8.0,Poor,10.0,0.6,39.42674759646653,Poor,747.49,Poor,187.0,462.72,144.39,91.07,0.21,13.6,99.6,2.62,6.96,66.18,71.3,0.73,3288.78,2551.45,77.58,40.93,74.03,5.45,20.47,Mixed Red and Black Soils,['water'],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),86.65,15.9,71.35,16.89,17.93,29.07,Mixed Red and Black Soils,['water'],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.91,18.04,71.35,3.34,34.6,40.76,Mixed Red and Black Soils,['water'],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),86.91,15.07,71.35,16.89,10.49,25.01,Mixed Red and Black Soils,['water'],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),82.81,11.18,71.35,3.34,34.29,38.79,Mixed Red and Black Soils,['water'],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),82.46,19.85,71.35,39.7,39.15,37.86,Mixed Red and Black Soils,['water'],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),81.48,13.07,0.98,26.0205248830987,39.42674759646653,Poor,0.325013470839931,0.25,10000000,23.16,30.84,7.68,21.12,31.71,10.59,20.5,32.03,11.530000000000001,23.31,30.38,7.07,22.15,33.05,10.899999999999999,14.791683,77.5636971
TELANGANA,SOUTH,F,M,0,,13330000,10.0,Poor,6.5,0.0,41.74918155564571,Average,1868.83,Poor,54.21,1379.06,34.92,270.58,0.92,5.8,99.6,8.37,12.91,60.45,76.2,0.82,1395.64,538.48,38.58,67.878,62.85,19.45,10.5,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,82.25,31.87,22.67,51.45,16.28,13.63,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,71.2,17.55,23.24,54.38,15.94,19.28,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,72.93,27.19,22.67,51.45,6.71,8.64,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,72.16,23.9,23.24,54.38,18.66,14.93,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,76.34,33.24,14.09,49.32,9.84,8.82,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,71.45,23.8,0.92,27.4535565076043,41.74918155564571,Average,0.347305620948757,0.0,15000000,23.68,29.92,6.240000000000002,20.34,30.97,10.629999999999999,19.62,31.48,11.86,23.62,29.7,6.079999999999998,20.66,30.34,9.68,17.9413136,79.6716738
TELANGANA,SOUTH,M,M,2,727092.5,10400000,5.0,Poor,11.7,0.0,36.72392775396354,Average,1751.29,Poor,48.83,1076.14,35.73,309.82,0.36,5.8,99.6,9.17,14.98,49.49,76.2,0.95,782.0,567.3,72.54,93.9492,86.99,32.53,16.5,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,78.76,35.95,22.19,43.12,28.49,19.33,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,66.73,19.96,39.49,66.27,28.93,30.25,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,68.51,30.02,22.19,43.12,9.38,9.75,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,67.3,27.13,30.04,68.08,37.53,24.04,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,83.49,38.94,23.98,68.37,15.95,13.56,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,66.35,25.89,0.98,24.3527804487136,36.72392775396354,Average,0.0658564531314029,5.12,12000000,23.32,29.57,6.25,20.16,30.67,10.510000000000002,19.58,31.15,11.57,23.32,29.44,6.120000000000001,20.4,29.92,9.520000000000003,,
TELANGANA,SOUTH,M,S,1,402436.0,0,,Poor,14.4,35.3,34.5259415642431,Poor,1572.51,Poor,70.7,1041.98,61.47,216.19,0.87,5.8,99.6,6.64,23.99,57.84,76.2,0.33,2285.61,1717.74,75.15,36.21,75.34,41.87,33.0,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,85.64,28.71,32.62,65.03,17.24,19.32,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,78.04,14.32,20.0,62.28,21.36,24.89,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,80.65,26.93,32.62,65.03,16.86,18.13,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,75.53,17.89,20.0,62.28,32.4,22.9,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,80.35,33.3,15.09,31.42,42.03,26.14,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,75.76,19.12,0.89,22.9965379137443,34.5259415642431,Poor,35.600829015544,2.93,30833,24.62,31.32,6.699999999999999,20.69,31.23,10.54,20.03,31.4,11.369999999999997,24.69,30.95,6.259999999999998,21.56,30.94,9.380000000000003,,
ANDHRA PRADESH,SOUTH,M,M,3,287333.333333333,2200000,10.0,Poor,13.4,0.0,35.58044864959209,Poor,769.69,Poor,155.68,452.14,84.57,90.71,0.0,12.4,99.9,2.69,1.38,5.49,73.5,5.01,2052.62,1472.7,71.75,46.12,10.54,28.08,28.33,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,79.17,16.6,64.33,11.96,21.49,26.36,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,79.71,15.67,64.33,34.13,13.54,29.43,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,79.94,18.17,64.33,11.96,25.48,26.97,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,75.89,11.21,64.33,34.13,9.94,24.44,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.41,22.36,64.33,32.11,33.61,31.04,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,73.59,12.31,0.98,23.6472095918765,35.58044864959209,Poor,0.206746096925131,1.46,11600000,22.7,29.92,7.220000000000002,20.93,31.33,10.399999999999999,20.23,31.4,11.169999999999998,22.95,29.72,6.77,21.6,31.94,10.34,15.5295111,77.3463293
ANDHRA PRADESH,SOUTH,M,M,1,200000.0,10840000,10.0,Average,6.8,5.1,42.53373680294403,Poor,1027.75,Average,127.16,574.59,42.46,95.01,0.3,12.4,99.9,0.75,8.3,9.51,73.5,0.71,3812.38,3255.8,85.4,59.62,12.66,39.06,41.65,Mixed Red and Black Soils,['reservoir'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,76.69,16.16,86.18,30.21,16.36,33.16,Mixed Red and Black Soils,['reservoir'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.27,12.83,86.18,17.65,23.49,42.89,Mixed Red and Black Soils,['reservoir'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.32,18.11,86.18,30.21,0.15,25.43,Mixed Red and Black Soils,['reservoir'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,73.84,12.29,86.18,17.65,55.99,53.15,Mixed Red and Black Soils,['reservoir'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,75.91,21.2,86.18,45.68,38.69,42.48,Mixed Red and Black Soils,['reservoir'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,72.83,13.48,0.95,27.9376574552789,42.53373680294403,Poor,1.31054498029634,0.1,11600000,22.76,29.99,7.229999999999997,21.2,31.93,10.73,20.4,31.83,11.43,23.05,29.92,6.870000000000001,22.14,32.66,10.519999999999996,15.567567567567568,77.22959215149291
MAHARASHTRA,WEST,M,M,2,75450.0,21348200,23.0,Poor,0.0,0.0,49.48813418023899,Average,1759.69,Poor,24.3,1278.41,125.97,197.92,0.57,3.6,99.1,3.72,19.41,31.7,75.7,0.81,846.98,540.22,63.78,47.8,11.25,26.98,25.65,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.7,24.65,52.07,39.18,11.82,17.0,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,89.43,13.53,93.32,30.83,23.02,38.0,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,89.6,18.55,52.07,39.18,0.7,11.61,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,89.21,19.13,93.32,30.83,21.63,33.75,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.45,22.07,92.11,65.86,24.27,29.84,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,92.97,15.84,0.95,32.228789752778,49.48813418023899,Average,0.0563962835369036,19.8,23000000,23.78,30.53,6.75,18.63,30.98,12.350000000000001,18.8,31.76,12.96,23.76,30.32,6.559999999999999,18.85,30.24,11.389999999999997,21.0287767,77.414735
MAHARASHTRA,WEST,F,M,2,724025.0,14850000,19.0,Poor,0.1,0.0,48.61618419319099,Average,2008.07,Poor,51.32,1020.49,201.8,262.33,1.03,3.6,99.1,3.37,39.62,31.78,75.7,0.69,1311.72,801.31,61.09,56.86,37.6,19.16,25.4,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,101.22,29.6,45.16,36.71,7.31,14.31,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,92.96,14.91,89.01,35.24,16.85,35.33,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.81,21.43,45.16,36.71,4.03,12.46,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.91,21.4,89.01,35.24,12.4,29.76,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,98.78,24.39,89.42,65.58,19.54,28.02,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,97.8,15.36,0.97,31.6907628687461,48.61618419319099,Average,0.0714724678788203,8.6,16500000,24.08,30.69,6.610000000000003,19.13,30.94,11.810000000000002,18.94,31.67,12.73,23.94,30.36,6.419999999999998,19.17,30.17,11.0,20.9012596,77.7469785
